profile,flat_independence,myopic_milp,laminar_greedy,laminar_rollout,root_count
65,7.45033040545804,8.956817359528898,8.956817359528898,8.956817359528898,0
66,8.107643367522776,8.107643367522776,0.0,0.0,1
67,22.59644924457706,14.94115888062749,13.478101778593953,13.478101778593953,0
68,13.73529812623234,22.62423532220875,13.478101778593953,13.478101778593953,0
69,7.45033040545804,13.667417962679853,8.321512265863708,8.321512265863708,2
70,13.73529812623234,14.94115888062749,21.79961404445766,21.79961404445766,0
71,13.322162204329889,16.639893801110162,13.478101778593953,13.478101778593953,0
72,22.59644924457706,22.62423532220875,21.79961404445766,21.79961404445766,0
73,13.322162204329889,7.848363877214912,4.521284419065052,4.521284419065052,1
74,7.116850663196368,8.956817359528898,8.956817359528898,8.956817359528898,0
75,0.0,8.956817359528898,8.956817359528898,8.956817359528898,0
76,13.73529812623234,14.879326570288388,12.842796684928759,12.842796684928759,1
77,8.107643367522776,8.107643367522776,12.842796684928759,12.842796684928759,1
78,13.322162204329889,14.94115888062749,13.478101778593953,13.478101778593953,0
79,7.116850663196368,0.0,0.0,0.0,1
80,22.59644924457706,22.62423532220875,13.478101778593953,13.478101778593953,0
81,13.73529812623234,7.848363877214912,0.0,0.0,1
82,7.116850663196368,0.0,0.0,0.0,1
83,8.107643367522776,8.107643367522776,12.842796684928759,12.842796684928759,1
84,0.0,7.092795003412578,4.521284419065052,4.521284419065052,1
85,13.73529812623234,7.848363877214912,0.0,0.0,1
86,13.73529812623234,7.848363877214912,8.321512265863708,8.321512265863708,1
87,15.507384659012384,14.94115888062749,8.956817359528898,8.956817359528898,0
88,13.73529812623234,22.62423532220875,13.478101778593953,13.478101778593953,0
89,0.0,0.0,0.0,0.0,1
90,13.73529812623234,7.848363877214912,12.842796684928759,12.842796684928759,1
91,13.73529812623234,16.639893801110162,8.956817359528898,8.956817359528898,0
92,22.59644924457706,14.94115888062749,21.79961404445766,21.79961404445766,0
93,0.0,6.2676766711902445,12.842796684928759,12.842796684928759,2
94,7.116850663196368,8.956817359528898,8.956817359528898,8.956817359528898,0
95,22.59644924457706,22.62423532220875,21.79961404445766,21.79961404445766,0
96,22.59644924457706,22.62423532220875,21.79961404445766,21.79961404445766,0
97,13.73529812623234,22.62423532220875,13.478101778593953,13.478101778593953,0
98,22.59644924457706,14.94115888062749,13.478101778593953,13.478101778593953,0
99,0.0,0.0,4.521284419065052,4.521284419065052,1
100,13.73529812623234,22.62423532220875,13.478101778593953,13.478101778593953,0
101,22.59644924457706,22.62423532220875,21.79961404445766,21.79961404445766,0
102,13.322162204329889,0.0,0.0,0.0,1
103,7.45033040545804,13.667417962679853,12.842796684928759,12.842796684928759,2
104,13.478101778593953,8.956817359528898,13.478101778593953,13.478101778593953,0
105,8.107643367522776,7.848363877214912,4.521284419065052,4.521284419065052,1
106,13.73529812623234,14.879326570288388,8.321512265863708,8.321512265863708,1
107,7.45033040545804,6.2676766711902445,4.521284419065052,4.521284419065052,2
108,8.107643367522776,8.107643367522776,4.521284419065052,4.521284419065052,1
109,15.507384659012384,8.107643367522776,4.521284419065052,4.521284419065052,1
110,13.73529812623234,22.62423532220875,8.956817359528898,8.956817359528898,0
111,8.107643367522776,8.107643367522776,12.842796684928759,12.842796684928759,1
112,13.322162204329889,16.639893801110162,13.478101778593953,13.478101778593953,0
113,7.116850663196368,8.956817359528898,8.956817359528898,8.956817359528898,0
114,7.45033040545804,7.092795003412578,0.0,0.0,1
115,0.0,0.0,4.521284419065052,4.521284419065052,2
116,15.507384659012384,7.848363877214912,4.521284419065052,4.521284419065052,1
117,13.73529812623234,16.639893801110162,8.956817359528898,8.956817359528898,0
118,0.0,13.667417962679853,12.842796684928759,12.842796684928759,2
119,7.116850663196368,0.0,4.521284419065052,4.521284419065052,1
120,7.116850663196368,8.956817359528898,17.278329625392608,17.278329625392608,0
121,13.322162204329889,0.0,4.521284419065052,4.521284419065052,1
122,13.322162204329889,14.94115888062749,21.79961404445766,21.79961404445766,0
123,15.507384659012384,14.94115888062749,17.278329625392608,17.278329625392608,0
124,22.59644924457706,22.62423532220875,13.478101778593953,13.478101778593953,0
125,13.322162204329889,16.639893801110162,13.478101778593953,13.478101778593953,0
126,7.45033040545804,13.667417962679853,12.842796684928759,12.842796684928759,2
127,22.59644924457706,22.62423532220875,13.478101778593953,13.478101778593953,0
128,5.603599098925774,7.399741291489608,4.521284419065052,4.521284419065052,2
129,7.116850663196368,7.848363877214912,12.842796684928759,12.842796684928759,1
130,13.322162204329889,14.879326570288388,12.842796684928759,12.842796684928759,1
131,15.507384659012384,8.107643367522776,12.842796684928759,12.842796684928759,1
132,13.73529812623234,16.639893801110162,17.278329625392608,17.278329625392608,0
133,0.0,0.0,4.521284419065052,4.521284419065052,2
134,8.107643367522776,8.107643367522776,8.321512265863708,8.321512265863708,1
135,13.322162204329889,16.639893801110162,8.956817359528898,8.956817359528898,0
136,13.322162204329889,16.639893801110162,13.478101778593953,13.478101778593953,0
137,13.73529812623234,7.848363877214912,8.321512265863708,8.321512265863708,1
138,7.116850663196368,8.956817359528898,8.956817359528898,8.956817359528898,0
139,13.73529812623234,14.879326570288388,12.842796684928759,12.842796684928759,1
140,7.116850663196368,0.0,0.0,0.0,1
141,22.59644924457706,22.62423532220875,13.478101778593953,13.478101778593953,0
142,13.322162204329889,16.639893801110162,13.478101778593953,13.478101778593953,0
143,7.116850663196368,14.94115888062749,21.79961404445766,21.79961404445766,0
144,13.73529812623234,14.879326570288388,4.521284419065052,4.521284419065052,1
145,7.116850663196368,14.94115888062749,21.79961404445766,21.79961404445766,0
146,7.45033040545804,13.667417962679853,4.521284419065052,4.521284419065052,2
147,13.322162204329889,0.0,4.521284419065052,4.521284419065052,1
148,15.507384659012384,8.107643367522776,4.521284419065052,4.521284419065052,1
149,7.116850663196368,0.0,4.521284419065052,4.521284419065052,1
150,7.116850663196368,0.0,4.521284419065052,4.521284419065052,1
151,13.73529812623234,22.62423532220875,13.478101778593953,13.478101778593953,0
152,22.59644924457706,22.62423532220875,21.79961404445766,21.79961404445766,0
153,7.116850663196368,14.879326570288388,4.521284419065052,4.521284419065052,1
154,13.73529812623234,7.848363877214912,12.842796684928759,12.842796684928759,1
155,15.507384659012384,14.94115888062749,17.278329625392608,17.278329625392608,0
156,7.116850663196368,16.639893801110162,13.478101778593953,13.478101778593953,0
157,0.0,0.0,4.521284419065052,4.521284419065052,1
158,7.116850663196368,16.639893801110162,13.478101778593953,13.478101778593953,0
159,13.73529812623234,14.94115888062749,21.79961404445766,21.79961404445766,0
160,13.322162204329889,0.0,4.521284419065052,4.521284419065052,1
161,0.0,0.0,4.521284419065052,4.521284419065052,2
162,13.73529812623234,7.848363877214912,4.521284419065052,4.521284419065052,1
163,13.322162204329889,7.848363877214912,12.842796684928759,12.842796684928759,1
164,7.45033040545804,7.092795003412578,4.521284419065052,4.521284419065052,1
165,13.73529812623234,14.879326570288388,4.521284419065052,4.521284419065052,1
166,13.73529812623234,14.879326570288388,12.842796684928759,12.842796684928759,1
167,13.73529812623234,7.848363877214912,4.521284419065052,4.521284419065052,1
168,0.0,6.2676766711902445,8.321512265863708,8.321512265863708,2
169,22.59644924457706,14.94115888062749,13.478101778593953,13.478101778593953,0
170,22.59644924457706,22.62423532220875,13.478101778593953,13.478101778593953,0
171,13.73529812623234,14.94115888062749,13.478101778593953,13.478101778593953,0
172,7.45033040545804,13.667417962679853,4.521284419065052,4.521284419065052,2
173,13.73529812623234,22.62423532220875,13.478101778593953,13.478101778593953,0
174,5.603599098925774,7.399741291489608,4.521284419065052,4.521284419065052,2
175,15.507384659012384,8.107643367522776,4.521284419065052,4.521284419065052,1
176,13.73529812623234,7.848363877214912,4.521284419065052,4.521284419065052,1
177,13.73529812623234,7.848363877214912,4.521284419065052,4.521284419065052,1
178,13.73529812623234,7.848363877214912,12.842796684928759,12.842796684928759,1
179,0.0,0.0,0.0,0.0,1
180,22.59644924457706,22.62423532220875,13.478101778593953,13.478101778593953,0
181,13.73529812623234,22.62423532220875,17.278329625392608,17.278329625392608,0
182,22.59644924457706,22.62423532220875,17.278329625392608,17.278329625392608,0
183,22.59644924457706,22.62423532220875,13.478101778593953,13.478101778593953,0
184,7.45033040545804,13.667417962679853,4.521284419065052,4.521284419065052,2
185,13.322162204329889,14.94115888062749,21.79961404445766,21.79961404445766,0
186,13.73529812623234,14.879326570288388,4.521284419065052,4.521284419065052,1
187,7.45033040545804,13.667417962679853,4.521284419065052,4.521284419065052,2
188,13.73529812623234,14.879326570288388,12.842796684928759,12.842796684928759,1
189,8.107643367522776,8.107643367522776,12.842796684928759,12.842796684928759,1
190,22.59644924457706,14.94115888062749,21.79961404445766,21.79961404445766,0
191,15.507384659012384,8.107643367522776,4.521284419065052,4.521284419065052,1
192,13.73529812623234,7.848363877214912,12.842796684928759,12.842796684928759,1
193,13.73529812623234,8.956817359528898,17.278329625392608,17.278329625392608,0
194,7.45033040545804,6.2676766711902445,4.521284419065052,4.521284419065052,2
195,13.73529812623234,14.879326570288388,4.521284419065052,4.521284419065052,1
196,13.73529812623234,16.639893801110162,8.956817359528898,8.956817359528898,0
197,13.73529812623234,22.62423532220875,13.478101778593953,13.478101778593953,0
198,0.0,6.2676766711902445,12.842796684928759,12.842796684928759,2
199,7.45033040545804,6.2676766711902445,12.842796684928759,12.842796684928759,2
200,22.59644924457706,14.94115888062749,13.478101778593953,13.478101778593953,0
201,8.107643367522776,8.107643367522776,0.0,0.0,1
202,22.59644924457706,14.94115888062749,13.478101778593953,13.478101778593953,0
203,7.116850663196368,0.0,4.521284419065052,4.521284419065052,1
204,13.73529812623234,7.848363877214912,12.842796684928759,12.842796684928759,1
205,0.0,0.0,4.521284419065052,4.521284419065052,1
206,13.73529812623234,14.879326570288388,12.842796684928759,12.842796684928759,1
207,8.107643367522776,7.848363877214912,12.842796684928759,12.842796684928759,1
208,13.73529812623234,14.879326570288388,12.842796684928759,12.842796684928759,1
209,13.73529812623234,22.62423532220875,13.478101778593953,13.478101778593953,0
210,0.0,13.667417962679853,12.842796684928759,12.842796684928759,2
211,7.116850663196368,8.956817359528898,8.956817359528898,8.956817359528898,0
212,22.59644924457706,14.94115888062749,13.478101778593953,13.478101778593953,0
213,7.116850663196368,0.0,4.521284419065052,4.521284419065052,1
214,0.0,7.092795003412578,4.521284419065052,4.521284419065052,1
215,13.322162204329889,16.639893801110162,13.478101778593953,13.478101778593953,0
216,22.59644924457706,14.94115888062749,13.478101778593953,13.478101778593953,0
217,7.116850663196368,14.94115888062749,13.478101778593953,13.478101778593953,0
218,13.322162204329889,7.848363877214912,4.521284419065052,4.521284419065052,1
219,13.322162204329889,16.639893801110162,13.478101778593953,13.478101778593953,0
220,0.0,0.0,0.0,0.0,3
221,13.73529812623234,16.639893801110162,8.956817359528898,8.956817359528898,0
222,15.507384659012384,14.94115888062749,17.278329625392608,17.278329625392608,0
223,7.116850663196368,0.0,0.0,0.0,1
224,22.59644924457706,22.62423532220875,21.79961404445766,21.79961404445766,0
225,7.45033040545804,14.879326570288388,0.0,0.0,1
226,13.73529812623234,22.62423532220875,17.278329625392608,17.278329625392608,0
227,13.73529812623234,16.639893801110162,17.278329625392608,17.278329625392608,0
228,7.116850663196368,0.0,4.521284419065052,4.521284419065052,1
229,7.45033040545804,13.667417962679853,4.521284419065052,4.521284419065052,2
230,8.107643367522776,14.94115888062749,8.956817359528898,8.956817359528898,0
231,13.73529812623234,7.848363877214912,0.0,0.0,1
232,8.107643367522776,8.107643367522776,12.842796684928759,12.842796684928759,1
